State,Percent Change,Latitude,Longitude
Alabama,-0.327272727,32.806671,-86.79113
Alaska,-0.179487179,61.370716,-152.404419
Arizona,-0.369565217,33.729759,-111.431221
Arkansas,-0.4375,34.969704,-92.373123
California,,36.116203,-119.681564
Colorado,-0.382978723,39.059811,-105.311104
Connecticut,-0.515151515,41.597782,-72.755371
Delaware,-0.41025641,39.318523,-75.507141
District of Columbia,-0.34375,38.897438,-77.026817
Florida,-0.411764706,27.766279,-81.686783
Georgia,-0.424242424,33.040619,-83.643074
Hawaii,-1,21.094318,-157.498337
Idaho,-0.381818182,44.240459,-114.478828
Illinois,-0.5,40.349457,-88.986137
Indiana,,39.849426,-86.258278
Iowa,-0.363636364,42.011539,-93.210526
Kansas,-0.5,38.5266,-96.726486
Kentucky,-0.392156863,37.66814,-84.670067
Louisiana,,31.169546,-91.867805
Maine,-0.52,44.693947,-69.381927
Maryland,-0.484848485,39.063946,-76.802101
Massachusetts,-0.6,42.230171,-71.530106
Michigan,-0.461538462,43.326618,-84.536095
Minnesota,-1,45.694454,-93.900192
Mississippi,-0.34,32.741646,-89.678696
Missouri,-0.4,38.456085,-92.288368
Montana,-0.452380952,46.921925,-110.454353
Nebraska,-0.243243243,41.12537,-98.268082
Nevada,-0.696969697,38.313515,-117.055374
New Hampshire,-0.5,43.452492,-71.563896
New Jersey,-0.433333333,40.298904,-74.521011
New Mexico,-1,34.840515,-106.248482
New York,-0.4,42.165726,-74.948051
North Carolina,-0.377777778,35.630066,-79.806419
North Dakota,-0.294117647,47.528912,-99.784012
Ohio,-0.404761905,40.388783,-82.764915
Oklahoma,,35.565342,-96.928917
Oregon,-0.458333333,44.572021,-122.070938
Pennsylvania,-0.258064516,40.590752,-77.209755
Rhode Island,-0.344827586,41.680893,-71.51178
South Carolina,-0.473684211,33.856892,-80.945007
South Dakota,-0.285714286,44.299782,-99.438828
Tennessee,-0.457627119,35.747845,-86.692345
Texas,-0.625,31.054487,-97.563461
Utah,-0.23255814,40.150032,-111.862434
Vermont,-0.487804878,44.045876,-72.710686
Virginia,-0.395348837,37.769337,-78.169968
Washington,-0.391304348,47.400902,-121.490494
West Virginia,-0.392156863,38.491226,-80.954453
Wisconsin,-0.375,44.268543,-89.616508
Wyoming,-0.344827586,42.755966,-107.30249
