State,Percent Change,Latitude,Longitude
Alabama,0.402777778,32.806671,-86.79113
Alaska,0.561403509,61.370716,-152.404419
Arizona,0.530612245,33.729759,-111.431221
Arkansas,0.974358974,34.969704,-92.373123
California,0.8125,36.116203,-119.681564
Colorado,0.23880597,39.059811,-105.311104
Connecticut,0.325581395,41.597782,-72.755371
Delaware,0.477272727,39.318523,-75.507141
District of Columbia,-0.246153846,38.897438,-77.026817
Florida,0.561403509,27.766279,-81.686783
Georgia,0.333333333,33.040619,-83.643074
Hawaii,1.783783784,21.094318,-157.498337
Idaho,0.479452055,44.240459,-114.478828
Illinois,0.769230769,40.349457,-88.986137
Indiana,0.362068966,39.849426,-86.258278
Iowa,0.408163265,42.011539,-93.210526
Kansas,0.693877551,38.5266,-96.726486
Kentucky,1,37.66814,-84.670067
Louisiana,1.676470588,31.169546,-91.867805
Maine,0.517241379,44.693947,-69.381927
Maryland,0.744186047,39.063946,-76.802101
Massachusetts,0.45,42.230171,-71.530106
Michigan,0.595238095,43.326618,-84.536095
Minnesota,0.545454545,45.694454,-93.900192
Mississippi,0.210526316,32.741646,-89.678696
Missouri,0.392857143,38.456085,-92.288368
Montana,-0.298076923,46.921925,-110.454353
Nebraska,0.52,41.12537,-98.268082
Nevada,2.438095238,38.313515,-117.055374
New Hampshire,0.540983607,43.452492,-71.563896
New Jersey,0.463414634,40.298904,-74.521011
New Mexico,1.352941176,34.840515,-106.248482
New York,0.577777778,42.165726,-74.948051
North Carolina,0.490909091,35.630066,-79.806419
North Dakota,0.358490566,47.528912,-99.784012
Ohio,0.625,40.388783,-82.764915
Oklahoma,-1,35.565342,-96.928917
Oregon,0.461538462,44.572021,-122.070938
Pennsylvania,0.304347826,40.590752,-77.209755
Rhode Island,0.688888889,41.680893,-71.51178
South Carolina,0.859649123,33.856892,-80.945007
South Dakota,0.566666667,44.299782,-99.438828
Tennessee,1.123287671,35.747845,-86.692345
Texas,0.773584906,31.054487,-97.563461
Utah,0.285714286,40.150032,-111.862434
Vermont,0.666666667,44.045876,-72.710686
Virginia,0.660377358,37.769337,-78.169968
Washington,0.4375,47.400902,-121.490494
West Virginia,0.553571429,38.491226,-80.954453
Wisconsin,0.488888889,44.268543,-89.616508
Wyoming,0.470588235,42.755966,-107.30249
