State,Percent Change,Latitude,Longitude
Alabama,0.082080789,32.806671,-86.79113
Alaska,0.083620266,61.370716,-152.404419
Arizona,0.089520013,33.729759,-111.431221
Arkansas,0.092976589,34.969704,-92.373123
California,0.126568853,36.116203,-119.681564
Colorado,0.131147541,39.059811,-105.311104
Connecticut,0.088714005,41.597782,-72.755371
Delaware,0.064527693,39.318523,-75.507141
District of Columbia,0.078238719,38.897438,-77.026817
Florida,0.075824176,27.766279,-81.686783
Georgia,0.084565014,33.040619,-83.643074
Hawaii,0.122074883,21.094318,-157.498337
Idaho,0.132332609,44.240459,-114.478828
Illinois,0.115612648,40.349457,-88.986137
Indiana,0.10446571,39.849426,-86.258278
Iowa,0.105927888,42.011539,-93.210526
Kansas,0.107903358,38.5266,-96.726486
Kentucky,0.093737124,37.66814,-84.670067
Louisiana,0.100187852,31.169546,-91.867805
Maine,0.09394572,44.693947,-69.381927
Maryland,0.058331591,39.063946,-76.802101
Massachusetts,0.058798646,42.230171,-71.530106
Michigan,0.058836024,43.326618,-84.536095
Minnesota,0.053449744,45.694454,-93.900192
Mississippi,0.056623932,32.741646,-89.678696
Missouri,0.062419285,38.456085,-92.288368
Montana,0.05676381,46.921925,-110.454353
Nebraska,0.04361099,41.12537,-98.268082
Nevada,0.019521825,38.313515,-117.055374
New Hampshire,0.00802139,43.452492,-71.563896
New Jersey,0.003577018,40.298904,-74.521011
New Mexico,-0.022727273,34.840515,-106.248482
New York,-0.009953704,42.165726,-74.948051
North Carolina,-0.034201954,35.630066,-79.806419
North Dakota,-0.02311866,47.528912,-99.784012
Ohio,-0.012268463,40.388783,-82.764915
Oklahoma,-0.009910563,35.565342,-96.928917
Oregon,-0.011216776,44.572021,-122.070938
Pennsylvania,-0.025672372,40.590752,-77.209755
Rhode Island,-0.037592138,41.680893,-71.51178
South Carolina,-0.020296643,33.856892,-80.945007
South Dakota,-0.013954713,44.299782,-99.438828
Tennessee,-0.026357827,35.747845,-86.692345
Texas,-0.029269603,31.054487,-97.563461
Utah,0.067446043,40.150032,-111.862434
Vermont,0.046015038,44.045876,-72.710686
Virginia,0.00030248,37.769337,-78.169968
Washington,0.165703971,47.400902,-121.490494
West Virginia,0.148536321,38.491226,-80.954453
Wisconsin,0.074167873,44.268543,-89.616508
Wyoming,0.007972665,42.755966,-107.30249
