State,Year2000,Year2004,Year2008,Year2012,Year2016,Year2020,Latitude,Longitude
Alabama,7.2,7.1,8.2,8.6,9.4,10.1,32.806671,-86.79113
Alaska,5.7,7.1,7.2,8.4,8.5,8.9,61.370716,-152.404419
Arizona,4.9,5.9,5.6,6,6.7,7.5,33.729759,-111.431221
Arkansas,7.8,9.9,10.9,10.6,13.4,15.4,34.969704,-92.373123
California,3.2,6.5,6,6.7,6.4,5.8,36.116203,-119.681564
Colorado,6.7,7.4,6.8,7.4,7.4,8.3,39.059811,-105.311104
Connecticut,4.3,5.6,5.2,5.4,5.8,5.7,41.597782,-72.755371
Delaware,4.4,5.6,5.8,5.5,6.1,6.5,39.318523,-75.507141
District of Columbia,6.5,8.1,8.4,4.1,5.2,4.9,38.897438,-77.026817
Florida,5.7,8.1,7.2,8,9,8.9,27.766279,-81.686783
Georgia,5.1,6.8,6.5,6,7.9,6.8,33.040619,-83.643074
Hawaii,7.4,15.6,17.5,19.1,22.6,20.6,21.094318,-157.498337
Idaho,7.3,8.1,8.2,9.5,10.8,10.8,44.240459,-114.478828
Illinois,3.9,5.8,5.8,5.9,6.2,6.9,40.349457,-88.986137
Indiana,5.8,6.9,6.7,8,7.8,7.9,39.849426,-86.258278
Iowa,4.9,6.1,6.8,6.5,6.9,6.9,42.011539,-93.210526
Kansas,4.9,6.2,6.3,6.7,7,8.3,38.5266,-96.726486
Kentucky,4.9,7.4,7.2,7.9,8.8,9.8,37.66814,-84.670067
Louisiana,3.4,6.1,5.7,6.8,8,9.1,31.169546,-91.867805
Maine,5.8,7.6,7.3,7.4,8.6,8.8,44.693947,-69.381927
Maryland,4.3,6.3,5.6,5.9,6.9,7.5,39.063946,-76.802101
Massachusetts,4,5.8,5.5,5.7,6.5,5.8,42.230171,-71.530106
Michigan,4.2,5.9,5.6,5.6,6.2,6.7,43.326618,-84.536095
Minnesota,4.4,5.6,5.6,5.4,6,6.8,45.694454,-93.900192
Mississippi,5.7,7,5.8,5.1,6.1,6.9,32.741646,-89.678696
Missouri,5.6,6.9,6.5,6.8,7.1,7.8,38.456085,-92.288368
Montana,10.4,7.8,7.8,7.6,7.5,7.3,46.921925,-110.454353
Nebraska,5,6.5,6.7,6.9,7.1,7.6,41.12537,-98.268082
Nevada,21,28.4,35.1,42.3,62.1,72.2,38.313515,-117.055374
New Hampshire,6.1,7,6.8,6.8,8,9.4,43.452492,-71.563896
New Jersey,4.1,5.7,4.9,5.4,5.9,6,40.298904,-74.521011
New Mexico,3.4,6.4,6.9,4,7.4,8,34.840515,-106.248482
New York,4.5,7.5,7,6.6,6.8,7.1,42.165726,-74.948051
North Carolina,5.5,7,6.6,6.9,7.3,8.2,35.630066,-79.806419
North Dakota,5.3,6,6.6,6.5,6.9,7.2,47.528912,-99.784012
Ohio,4.8,6,5.8,6,6.6,7.8,40.388783,-82.764915
Oklahoma,5.9,6.7,6.9,7.1,6.5,,35.565342,-96.928917
Oregon,5.2,6.9,6.6,6.9,8.1,7.6,44.572021,-122.070938
Pennsylvania,4.6,5.8,5.5,5.5,5.9,6,40.590752,-77.209755
Rhode Island,4.5,6.7,6.1,6.1,7.7,7.6,41.680893,-71.51178
South Carolina,5.7,6.6,7.4,7.3,8.2,10.6,33.856892,-80.945007
South Dakota,6,7.2,7.5,7.7,8.4,9.4,44.299782,-99.438828
Tennessee,7.3,8.6,8.8,9.4,11.4,15.5,35.747845,-86.692345
Texas,5.3,7.1,7.3,7.3,8,9.4,31.054487,-97.563461
Utah,8.4,9,8.4,9,9.9,10.8,40.150032,-111.862434
Vermont,6,8.3,8.2,7.9,9.4,10,44.045876,-72.710686
Virginia,5.3,7,6.8,7.2,8.3,8.8,37.769337,-78.169968
Washington,4.8,6.2,6.3,6.3,6.5,6.9,47.400902,-121.490494
West Virginia,5.6,6.4,7,7.1,7.5,8.7,38.491226,-80.954453
Wisconsin,4.5,5.6,5.4,5.6,6.2,6.7,44.268543,-89.616508
Wyoming,6.8,7.1,7.6,8.6,9.3,10,42.755966,-107.30249
