State,Year2000,Year2004,Year2008,Year2012,Year2016,Year2020,Percent Change
Alabama,7.2,7.1,8.2,8.6,9.4,10.1,0.402777778
Alaska,5.7,7.1,7.2,8.4,8.5,8.9,0.561403509
Arizona,4.9,5.9,5.6,6,6.7,7.5,0.530612245
Arkansas,7.8,9.9,10.9,10.6,13.4,15.4,0.974358974
California,3.2,6.5,6,6.7,6.4,5.8,0.8125
Colorado,6.7,7.4,6.8,7.4,7.4,8.3,0.23880597
Connecticut,4.3,5.6,5.2,5.4,5.8,5.7,0.325581395
Delaware,4.4,5.6,5.8,5.5,6.1,6.5,0.477272727
District of Columbia,6.5,8.1,8.4,4.1,5.2,4.9,-0.246153846
Florida,5.7,8.1,7.2,8,9,8.9,0.561403509
Georgia,5.1,6.8,6.5,6,7.9,6.8,0.333333333
Hawaii,7.4,15.6,17.5,19.1,22.6,20.6,1.783783784
Idaho,7.3,8.1,8.2,9.5,10.8,10.8,0.479452055
Illinois,3.9,5.8,5.8,5.9,6.2,6.9,0.769230769
Indiana,5.8,6.9,6.7,8,7.8,7.9,0.362068966
Iowa,4.9,6.1,6.8,6.5,6.9,6.9,0.408163265
Kansas,4.9,6.2,6.3,6.7,7,8.3,0.693877551
Kentucky,4.9,7.4,7.2,7.9,8.8,9.8,1
Louisiana,3.4,6.1,5.7,6.8,8,9.1,1.676470588
Maine,5.8,7.6,7.3,7.4,8.6,8.8,0.517241379
Maryland,4.3,6.3,5.6,5.9,6.9,7.5,0.744186047
Massachusetts,4,5.8,5.5,5.7,6.5,5.8,0.45
Michigan,4.2,5.9,5.6,5.6,6.2,6.7,0.595238095
Minnesota,4.4,5.6,5.6,5.4,6,6.8,0.545454545
Mississippi,5.7,7,5.8,5.1,6.1,6.9,0.210526316
Missouri,5.6,6.9,6.5,6.8,7.1,7.8,0.392857143
Montana,10.4,7.8,7.8,7.6,7.5,7.3,-0.298076923
Nebraska,5,6.5,6.7,6.9,7.1,7.6,0.52
Nevada,21,28.4,35.1,42.3,62.1,72.2,2.438095238
New Hampshire,6.1,7,6.8,6.8,8,9.4,0.540983607
New Jersey,4.1,5.7,4.9,5.4,5.9,6,0.463414634
New Mexico,3.4,6.4,6.9,4,7.4,8,1.352941176
New York,4.5,7.5,7,6.6,6.8,7.1,0.577777778
North Carolina,5.5,7,6.6,6.9,7.3,8.2,0.490909091
North Dakota,5.3,6,6.6,6.5,6.9,7.2,0.358490566
Ohio,4.8,6,5.8,6,6.6,7.8,0.625
Oklahoma,5.9,6.7,6.9,7.1,6.5,,-1
Oregon,5.2,6.9,6.6,6.9,8.1,7.6,0.461538462
Pennsylvania,4.6,5.8,5.5,5.5,5.9,6,0.304347826
Rhode Island,4.5,6.7,6.1,6.1,7.7,7.6,0.688888889
South Carolina,5.7,6.6,7.4,7.3,8.2,10.6,0.859649123
South Dakota,6,7.2,7.5,7.7,8.4,9.4,0.566666667
Tennessee,7.3,8.6,8.8,9.4,11.4,15.5,1.123287671
Texas,5.3,7.1,7.3,7.3,8,9.4,0.773584906
Utah,8.4,9,8.4,9,9.9,10.8,0.285714286
Vermont,6,8.3,8.2,7.9,9.4,10,0.666666667
Virginia,5.3,7,6.8,7.2,8.3,8.8,0.660377358
Washington,4.8,6.2,6.3,6.3,6.5,6.9,0.4375
West Virginia,5.6,6.4,7,7.1,7.5,8.7,0.553571429
Wisconsin,4.5,5.6,5.4,5.6,6.2,6.7,0.488888889
Wyoming,6.8,7.1,7.6,8.6,9.3,10,0.470588235
Average,5.764705882,7.429411765,7.52745098,7.784313725,8.984313725,9.764,0.588455915
1st Q,4.5,6.1,5.8,5.95,6.5,6.9,0.405470522
2nd Q,5.3,6.9,6.8,6.8,7.4,7.85,0.530612245
3rd Q,6,7.4,7.35,7.8,8.45,9.4,0.69138322
